Common name,Scientific name,Group,Action,Notes
Alagoas Antwren,Myrmotherula snowi,Birds,1.1,
Asian Crested Ibis,Nipponia nippon,Birds,5.1,
Asian Crested Ibis,Nipponia nippon,Birds,5.2,
Asian Crested Ibis,Nipponia nippon,Birds,5.4,
Asian Crested Ibis,Nipponia nippon,Birds,1.1,
Asian Crested Ibis,Nipponia nippon,Birds,3.3,
Asian Crested Ibis,Nipponia nippon,Birds,4.3,
Asian Crested Ibis,Nipponia nippon,Birds,3.4,
Asian Crested Ibis,Nipponia nippon,Birds,6.4,
Bali Myna,Leucopsar rothschildi,Birds,1.1,
Bali Myna,Leucopsar rothschildi,Birds,2.1,
Bali Myna,Leucopsar rothschildi,Birds,3.3,
Bali Myna,Leucopsar rothschildi,Birds,3.4,
Bali Myna,Leucopsar rothschildi,Birds,5.1,
Bali Myna,Leucopsar rothschildi,Birds,5.2,
Bali Myna,Leucopsar rothschildi,Birds,5.4,
Bali Myna,Leucopsar rothschildi,Birds,6.1,
Bali Myna,Leucopsar rothschildi,Birds,6.5,
Black Stilt,Himantopus novaezelandiae,Birds,2.1,
Black Stilt,Himantopus novaezelandiae,Birds,2.2,
Black Stilt,Himantopus novaezelandiae,Birds,3.2,double clutching
Black Stilt,Himantopus novaezelandiae,Birds,3.3,
Black Stilt,Himantopus novaezelandiae,Birds,3.4,
California Condor,Gymnogyps californianus,Birds,5.1,
California Condor,Gymnogyps californianus,Birds,3.4,
California Condor,Gymnogyps californianus,Birds,3.3,
California Condor,Gymnogyps californianus,Birds,4.3,
California Condor,Gymnogyps californianus,Birds,3.2,food provisioning
California Condor,Gymnogyps californianus,Birds,2.3,provision of lead-free amunition
California Condor,Gymnogyps californianus,Birds,5.1,
California Condor,Gymnogyps californianus,Birds,1.1,
Echo Parakeet,Psittacula eques,Birds,3.3,
Echo Parakeet,Psittacula eques,Birds,3.4,
Echo Parakeet,Psittacula eques,Birds,3.2,
Echo Parakeet,Psittacula eques,Birds,2.2,
Echo Parakeet,Psittacula eques,Birds,1.1,
Echo Parakeet,Psittacula eques,Birds,2.1,
Fatu Hiva Monarch,Pomarea whitneyi,Birds,2.2,
Guadalupe Junco,Junco insularis,Birds,1.1,
Guadalupe Junco,Junco insularis,Birds,2.2,
Lear's Macaw,Anodorhynchus leari,Birds,5.1,
Lear's Macaw,Anodorhynchus leari,Birds,5.4,
Lear's Macaw,Anodorhynchus leari,Birds,2.1,
Lear's Macaw,Anodorhynchus leari,Birds,4.3,
Lear's Macaw,Anodorhynchus leari,Birds,6.4,
Lear's Macaw,Anodorhynchus leari,Birds,3.3,
Lear's Macaw,Anodorhynchus leari,Birds,3.4,
Magenta Petrel,Pterodroma magentae,Birds,2.2,
Magenta Petrel,Pterodroma magentae,Birds,1.1,
Magenta Petrel,Pterodroma magentae,Birds,2.1,fence
Magenta Petrel,Pterodroma magentae,Birds,3.2,"wooden burrows, translocation"
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,1.1,
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,2.2,
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,3.2,food provisioning
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,3.3,
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,3.4,
Malherbe’s Parakeet,Cyanoramphus malherbi,Birds,5.1,
Mangrove Finch,Geospiza heliobates,Birds,1.1,
Mangrove Finch,Geospiza heliobates,Birds,2.2,
Mangrove Finch,Geospiza heliobates,Birds,3.2,nest injection
Mangrove Finch,Geospiza heliobates,Birds,3.3,
Mangrove Finch,Geospiza heliobates,Birds,3.4,
Mariana Crow,Corvus kubaryi,Birds,2.2,
Mariana Crow,Corvus kubaryi,Birds,3.3,
Mariana Crow,Corvus kubaryi,Birds,3.4,
Northern Bald Ibis,Geronticus eremita,Birds,5.1,
Northern Bald Ibis,Geronticus eremita,Birds,1.1,
Northern Bald Ibis,Geronticus eremita,Birds,6.1,
Northern Bald Ibis,Geronticus eremita,Birds,3.2,
Northern Bald Ibis,Geronticus eremita,Birds,2.1,
Northern Bald Ibis,Geronticus eremita,Birds,3.4,
Northern Bald Ibis,Geronticus eremita,Birds,3.3,
Northern Bald Ibis,Geronticus eremita,Birds,4.3,
Orange-bellied Parrot,Neophema chrysogaster,Birds,2.1,
Orange-bellied Parrot,Neophema chrysogaster,Birds,3.3,
Orange-bellied Parrot,Neophema chrysogaster,Birds,3.4,
