assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
503908,11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi,,,,"Palacios, 1977",Vulnerable,B1ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
518549,136503,Plecotus sardus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,sardus,,,,"Mucedda, Kiefer, Pidinchedda, &amp; Veith, 2002",Vulnerable,B2ab(iii),3.1,Decreasing,"Global, Europe & Mediterranean"
519016,136773,Uromys boeadii,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Uromys,boeadii,,,,"Groves &amp; Flannery, 1994",Critically Endangered,A4cd,3.1,Decreasing,Global
546843,14922,Nyctalus azoreum,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Nyctalus,azoreum,,,,"(Thomas, 1901)",Vulnerable,C2a(i),3.1,Decreasing,"Global, Europe & Mediterranean"
739675,15602,Euryoryzomys lamia,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Euryoryzomys,lamia,,,,"(Thomas, 1901)",Vulnerable,"B2ab(i,iii)",3.1,Decreasing,Global
1306343,17026,Phocarctos hookeri,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,OTARIIDAE,Phocarctos,hookeri,,,,"(Gray, 1844)",Endangered,A4bd,3.1,Decreasing,Global
1380378,17315,Pipistrellus maderensis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Pipistrellus,maderensis,,,,"(Dobson, 1878)",Vulnerable,C2a(i),3.1,Decreasing,"Global, Europe & Mediterranean"
1424721,17602,Plecotus teneriffae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,teneriffae,,,,"Barret-Hamilton, 1907",Vulnerable,"B1ab(iii,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
2952954,41305,Lepus corsicanus,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,corsicanus,,,,"de Winton, 1898",Vulnerable,A2bcde,3.1,Decreasing,"Global, Europe & Mediterranean"
3031266,5560,Crocidura canariensis,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Crocidura,canariensis,,,,"Hutterer, Lopez-Jurado &amp; Vogel, 1987",Endangered,"B1ab(i,iii)",3.1,Decreasing,Global & Europe
3165925,10108,Hipposideros ridleyi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,ridleyi,,,,"Robinson &amp; Kloss, 1911",Vulnerable,A3c,3.1,Decreasing,Global
3169035,10125,Hipposideros curtus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,curtus,,,,"G.M. Allen, 1921",Vulnerable,B2ab(iii),3.1,Decreasing,Global
3169728,10127,Hipposideros demissus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,demissus,,,,"K. Andersen, 1909",Vulnerable,D2,3.1,Unknown,Global
3170436,10130,Hipposideros doriae,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,doriae,,,,"(Peters, 1871)",Near Threatened,,3.1,Decreasing,Global
3172921,10140,Hipposideros jonesi,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,HIPPOSIDERIDAE,Hipposideros,jonesi,,,,"Hayman, 1947",Near Threatened,,3.1,Decreasing,Global
