assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
518549,136503,Plecotus sardus,2.2.3,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,7.3,Other ecosystem modifications,1.2,Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
519016,136773,Uromys boeadii,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
519016,136773,Uromys boeadii,2.1.1,Shifting agriculture,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
519016,136773,Uromys boeadii,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
546843,14922,Nyctalus azoreum,5.1.3,Persecution/control,2.1,Species mortality,,,,,,,Ongoing,
546843,14922,Nyctalus azoreum,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
1306343,17026,Phocarctos hookeri,8.2.1,Unspecified species,2.1,Species mortality,,,,Minority (<50%),,,Ongoing,
1306343,17026,Phocarctos hookeri,8.2,Problematic native species/diseases,2.1,Species mortality,,,,,,,Ongoing,
1306343,17026,Phocarctos hookeri,5.4.4,Unintentional effects: (large scale) [harvest],1.2|2.1,Ecosystem degradation|Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
1306343,17026,Phocarctos hookeri,10.2,Earthquakes/tsunamis,1.1,Ecosystem conversion,,,,Unknown,Causing/Could cause fluctuations,,Unknown,
1380378,17315,Pipistrellus maderensis,6.3,Work & other activities,2.2,Species disturbance,,,,,,,Ongoing,
1380378,17315,Pipistrellus maderensis,5.1.2,Unintentional effects (species is not the target),2.1,Species mortality,,,,,,,Ongoing,
1380378,17315,Pipistrellus maderensis,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
1424721,17602,Plecotus teneriffae,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
