"Common.name","Scientific.name","orderName","className","familyName","redlistCategory","populationTrend","Generation_time_years","AdultBodyMass_g","Artificial Terrestrial","Caves and Subterranean Habitats","Desert","Forest","Grassland","Introduced vegetation","Marine Coastal/Supratidal","Marine Intertidal","Marine Neritic","Marine Oceanic","Rocky Areas","Savana","Shrubland","Wetlands","island","t1993","t2010"
"Alagoas Antwren","Myrmotherula snowi","PASSERIFORMES","AVES","THAMNOPHILIDAE","Critically Endangered","Decreasing",2.7,9.59,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","no","included","included"
"Asian Crested Ibis","Nipponia nippon","PELECANIFORMES","AVES","THRESKIORNITHIDAE","Endangered","Increasing",7.4,1900,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","no","included",NA
"Bali Myna","Leucopsar rothschildi","PASSERIFORMES","AVES","STURNIDAE","Critically Endangered","Decreasing",6,91.3,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","yes","included","included"
"Black Stilt","Himantopus novaezelandiae","CHARADRIIFORMES","AVES","RECURVIROSTRIDAE","Critically Endangered","Increasing",5.4,195,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","yes","included","included"
"California Condor","Gymnogyps californianus","CATHARTIFORMES","AVES","CATHARTIDAE","Critically Endangered","Increasing",19,8442.74,"No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","no","included",NA
"Campbell Teal","Anas nesiotis","ANSERIFORMES","AVES","ANATIDAE","Endangered","Increasing",3.9,499.09,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","yes",NA,NA
"Magenta Petrel","Pterodroma magentae","PROCELLARIIFORMES","AVES","PROCELLARIIDAE","Critically Endangered","Increasing",14.7,465,"No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","yes","included",NA
"Chinese Crested Tern","Thalasseus bernsteini","CHARADRIIFORMES","AVES","LARIDAE","Critically Endangered","Decreasing",8,284,"No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","no",NA,NA
"Echo Parakeet","Psittacula eques","PSITTACIFORMES","AVES","PSITTACIDAE","Vulnerable","Increasing",10.2,163,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","yes","included",NA
"Fatu Hiva Monarch","Pomarea whitneyi","PASSERIFORMES","AVES","MONARCHIDAE","Critically Endangered","Decreasing",3.5,42.5,"No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","yes","included","included"
"Chatham parakeet","Cyanoramphus forbesi","PSITTACIFORMES","AVES","PSITTACIDAE","Vulnerable","Stable",3.6,90.1,"No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","yes",NA,NA
"Great Indian Bustard","Ardeotis nigriceps","OTIDIFORMES","AVES","OTIDIDAE","Critically Endangered","Decreasing",12.8,7235.31,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","no",NA,NA
"Guadalupe Junco","Junco insularis","PASSERIFORMES","AVES","PASSERELLIDAE","Endangered","Increasing",2.1,NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","yes","included",NA
"Indigo-winged Parrot","Hapalopsittaca fuertesi","PSITTACIFORMES","AVES","PSITTACIDAE","Critically Endangered","Decreasing",2.7,21.09,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","no",NA,NA
"Lear's Macaw","Anodorhynchus leari","PSITTACIFORMES","AVES","PSITTACIDAE","Endangered","Increasing",11.1,939.99,"No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","no","included",NA
"Madagascar Pochard","Aythya innotata","ANSERIFORMES","AVES","ANATIDAE","Critically Endangered","Stable",3.7,685,"No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","yes",NA,NA
"Mangrove Finch","Geospiza heliobates","PASSERIFORMES","AVES","THRAUPIDAE","Critically Endangered","Decreasing",NA,NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included","included"
"Mariana Crow","Corvus kubaryi","PASSERIFORMES","AVES","CORVIDAE","Critically Endangered","Decreasing",4.8,249.92,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included","included"
"Niceforo's Wren","Thryophilus nicefori","PASSERIFORMES","AVES","TROGLODYTIDAE","Critically Endangered","Decreasing",2.7,NA,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","no",NA,NA
"North Island Kokako","Callaeas wilsoni","PASSERIFORMES","AVES","CALLAEIDAE","Near Threatened","Increasing",4.5,NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","yes",NA,NA
"Northern Bald Ibis","Geronticus eremita","PELECANIFORMES","AVES","THRESKIORNITHIDAE","Endangered","Stable",10.1,1202,"Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","no","included",NA
"Okarito Kiwi","Apteryx rowi","STRUTHIONIFORMES","AVES","APTERYGIDAE","Vulnerable","Increasing",10,NA,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes",NA,NA
"Orange-bellied Parrot","Neophema chrysogaster","PSITTACIFORMES","AVES","PSITTACIDAE","Critically Endangered","Decreasing",3.4,45.9,"Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","no","included","included"
"Malherbe’s Parakeet","Cyanoramphus malherbi","PSITTACIFORMES","AVES","PSITTACIDAE","Critically Endangered","Stable",3.6,46.7,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included","included"
"Pale-headed Brush-finch","Atlapetes pallidiceps","PASSERIFORMES","AVES","PASSERELLIDAE","Endangered","Increasing",3.1,32.17,"Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","no","included",NA
"Pink Pigeon","Nesoenas mayeri","COLUMBIFORMES","AVES","COLUMBIDAE","Vulnerable","Stable",5.4,302.76,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included",NA
"Puerto Rican Amazon","Amazona vittata","PSITTACIFORMES","AVES","PSITTACIDAE","Critically Endangered","Unknown",13.3,279.28,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included","included"
"Rarotonga Monarch","Pomarea dimidiata","PASSERIFORMES","AVES","MONARCHIDAE","Vulnerable","Increasing",3.5,23,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","yes","included",NA
"Red-billed Curassow","Crax blumenbachii","GALLIFORMES","AVES","CRACIDAE","Endangered","Decreasing",8.5,3500,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","no","included",NA
