Common.name,Scientific.name,class,est,median1993,median2010,agreement1993,agreement2010,order1993,order2010
Bawean Deer,Axis kuhlii,MAMMALIA,Highest,58,40,Medium,Medium,4,2
Bawean Deer,Axis kuhlii,MAMMALIA,Best,30,17.5,Medium,Medium,4,2
Bawean Deer,Axis kuhlii,MAMMALIA,Lowest,17.5,5,Medium,High,4,2
Black-footed Ferret,Mustela nigripes,MAMMALIA,Highest,100,72.5,High,Medium,20,14
Black-footed Ferret,Mustela nigripes,MAMMALIA,Best,95,60,High,Medium,20,14
Black-footed Ferret,Mustela nigripes,MAMMALIA,Lowest,90,40,High,Medium,20,14
Black Lion Tamarin,Leontopithecus chrysopygus,MAMMALIA,Highest,40,NA,Medium,High,2,NA
Black Lion Tamarin,Leontopithecus chrysopygus,MAMMALIA,Best,20,NA,High,High,2,NA
Black Lion Tamarin,Leontopithecus chrysopygus,MAMMALIA,Lowest,10,NA,Medium,High,2,NA
Bridled Nailtail Wallaby,Onychogalea fraenata,MAMMALIA,Highest,55,NA,Medium,High,6,NA
Bridled Nailtail Wallaby,Onychogalea fraenata,MAMMALIA,Best,40,NA,Medium,High,6,NA
Bridled Nailtail Wallaby,Onychogalea fraenata,MAMMALIA,Lowest,20,NA,Medium,High,6,NA
Cao-vit Gibbon,Nomascus nasutus,MAMMALIA,Highest,80,60,Medium,Medium,10,7
Cao-vit Gibbon,Nomascus nasutus,MAMMALIA,Best,60,37.5,High,Medium,10,7
Cao-vit Gibbon,Nomascus nasutus,MAMMALIA,Lowest,40,20,Medium,Medium,10,7
Cat Ba Langur,Trachypithecus poliocephalus,MAMMALIA,Highest,90,75,Medium,Medium,13,13
Cat Ba Langur,Trachypithecus poliocephalus,MAMMALIA,Best,75,55,Medium,High,13,13
Cat Ba Langur,Trachypithecus poliocephalus,MAMMALIA,Lowest,60,40,High,Medium,13,13
Delacour's Langur,Trachypithecus delacouri,MAMMALIA,Highest,70,47.5,High,Medium,8,4
Delacour's Langur,Trachypithecus delacouri,MAMMALIA,Best,50,30,Medium,High,8,4
Delacour's Langur,Trachypithecus delacouri,MAMMALIA,Lowest,27.5,10,Medium,Medium,8,4
Gilbert's Potoroo,Potorous gilbertii,MAMMALIA,Highest,100,65,High,Medium,21,8
Gilbert's Potoroo,Potorous gilbertii,MAMMALIA,Best,100,40,High,Medium,21,8
Gilbert's Potoroo,Potorous gilbertii,MAMMALIA,Lowest,95,25,Medium,Medium,21,8
Golden Lion Tamarin,Leontopithecus rosalia,MAMMALIA,Highest,70,NA,Medium,High,7,NA
Golden Lion Tamarin,Leontopithecus rosalia,MAMMALIA,Best,47.5,NA,Medium,High,7,NA
Golden Lion Tamarin,Leontopithecus rosalia,MAMMALIA,Lowest,30,NA,High,High,7,NA
Hainan Gibbon,Nomascus hainanus,MAMMALIA,Highest,95,70,Medium,Medium,14,12
Hainan Gibbon,Nomascus hainanus,MAMMALIA,Best,80,50,Medium,Medium,14,12
Hainan Gibbon,Nomascus hainanus,MAMMALIA,Lowest,50,30,Medium,Medium,14,12
Iberian Lynx,Lynx pardinus,MAMMALIA,Highest,90,50,High,High,15,5
Iberian Lynx,Lynx pardinus,MAMMALIA,Best,80,32.5,High,High,15,5
Iberian Lynx,Lynx pardinus,MAMMALIA,Lowest,50,20,High,High,15,5
Javan Rhinoceros,Rhinoceros sondaicus,MAMMALIA,Highest,100,87.5,High,Medium,18,16
Javan Rhinoceros,Rhinoceros sondaicus,MAMMALIA,Best,90,75,High,Medium,18,16
Javan Rhinoceros,Rhinoceros sondaicus,MAMMALIA,Lowest,80,50,Medium,Medium,18,16
Northern Hairy-nosed Wombat,Lasiorhinus krefftii,MAMMALIA,Highest,95,55,Medium,High,16,6
Northern Hairy-nosed Wombat,Lasiorhinus krefftii,MAMMALIA,Best,80,32.5,Medium,High,16,6
Northern Hairy-nosed Wombat,Lasiorhinus krefftii,MAMMALIA,Lowest,50,20,Medium,High,16,6
Northern Idaho Ground Squirrel,Urocitellus brunneus,MAMMALIA,Highest,70,NA,High,High,9,NA
Northern Idaho Ground Squirrel,Urocitellus brunneus,MAMMALIA,Best,55,NA,High,High,9,NA
Northern Idaho Ground Squirrel,Urocitellus brunneus,MAMMALIA,Lowest,30,NA,Medium,High,9,NA
Père David's Deer,Elaphurus davidianus,MAMMALIA,Best,100,100,High,High,23,18
Przewalski's Horse,Equus ferus,MAMMALIA,Highest,100,65,High,Medium,22,10
Przewalski's Horse,Equus ferus,MAMMALIA,Best,100,42.5,High,Medium,22,10
Przewalski's Horse,Equus ferus,MAMMALIA,Lowest,100,25,High,Medium,22,10
Pygmy Hog,Porcula salvania,MAMMALIA,Highest,80,60,Medium,High,11,9
Pygmy Hog,Porcula salvania,MAMMALIA,Best,70,40,High,Medium,11,9
Pygmy Hog,Porcula salvania,MAMMALIA,Lowest,50,20,Medium,Medium,11,9
Red Wolf,Canis rufus,MAMMALIA,Highest,96.5,80,Medium,Low,17,15
Red Wolf,Canis rufus,MAMMALIA,Best,85,60,Medium,Medium,17,15
Red Wolf,Canis rufus,MAMMALIA,Lowest,65,40,Medium,Medium,17,15
Riverine Rabbit,Bunolagus monticularis,MAMMALIA,Highest,32.5,NA,Medium,High,1,NA
Riverine Rabbit,Bunolagus monticularis,MAMMALIA,Best,17.5,NA,High,High,1,NA
Riverine Rabbit,Bunolagus monticularis,MAMMALIA,Lowest,5,NA,High,High,1,NA
Scimitar-horned Oryx,Oryx dammah,MAMMALIA,Best,100,100,High,High,24,19
Sumatran Rhinoceros,Dicerorhinus sumatrensis,MAMMALIA,Highest,60,40,Low,Medium,5,3
Sumatran Rhinoceros,Dicerorhinus sumatrensis,MAMMALIA,Best,30,22.5,Medium,Medium,5,3
Sumatran Rhinoceros,Dicerorhinus sumatrensis,MAMMALIA,Lowest,20,12.5,Medium,Medium,5,3
Tenkile,Dendrolagus scottae,MAMMALIA,Highest,40,30,Medium,Medium,3,1
Tenkile,Dendrolagus scottae,MAMMALIA,Best,25,10,Medium,Medium,3,1
Tenkile,Dendrolagus scottae,MAMMALIA,Lowest,10,1,Medium,High,3,1
Vancouver Island Marmot,Marmota vancouverensis,MAMMALIA,Highest,90,60,Medium,Medium,12,11
Vancouver Island Marmot,Marmota vancouverensis,MAMMALIA,Best,72.5,45,Medium,Medium,12,11
Vancouver Island Marmot,Marmota vancouverensis,MAMMALIA,Lowest,50,20,Medium,Medium,12,11
Vaquita,Phocoena sinus,MAMMALIA,Highest,100,100,High,High,19,17
Vaquita,Phocoena sinus,MAMMALIA,Best,90,77.5,High,Medium,19,17
Vaquita,Phocoena sinus,MAMMALIA,Lowest,65,50,Medium,Low,19,17
Alagoas Antwren,Myrmotherula snowi,AVES,Highest,99,95,High,Medium,33,20
Alagoas Antwren,Myrmotherula snowi,AVES,Best,91,85,High,Medium,33,20
Alagoas Antwren,Myrmotherula snowi,AVES,Lowest,80,70,Medium,High,33,20
Alagoas Curassow,Mitu mitu,AVES,Best,100,100,High,High,40,24
Asian Crested Ibis,Nipponia nippon,AVES,Highest,98.5,NA,High,High,25,NA
Asian Crested Ibis,Nipponia nippon,AVES,Best,90,NA,High,High,25,NA
Asian Crested Ibis,Nipponia nippon,AVES,Lowest,80,NA,High,High,25,NA
Bali Myna,Leucopsar rothschildi,AVES,Highest,100,98,High,High,35,21
Bali Myna,Leucopsar rothschildi,AVES,Best,95,90,High,Medium,35,21
Bali Myna,Leucopsar rothschildi,AVES,Lowest,85,80,Medium,Medium,35,21
Black Stilt,Himantopus novaezelandiae,AVES,Highest,99,85,High,Medium,26,16
Black Stilt,Himantopus novaezelandiae,AVES,Best,90,70,Medium,Medium,26,16
Black Stilt,Himantopus novaezelandiae,AVES,Lowest,72.5,60,Medium,Medium,26,16
California Condor,Gymnogyps californianus,AVES,Highest,100,70,High,High,39,11
California Condor,Gymnogyps californianus,AVES,Best,98.5,50,High,Medium,39,11
California Condor,Gymnogyps californianus,AVES,Lowest,92.5,32.5,High,Medium,39,11
Campbell Teal,Anas nesiotis,AVES,Highest,60,NA,Medium,High,3,NA
Campbell Teal,Anas nesiotis,AVES,Best,30,NA,Medium,High,3,NA
