Scientific.name,region,presence,origin,className,t1993,t2010,redlistCategory
Myrmotherula snowi,Brazil,Extant,Native,AVES,included,included,Critically Endangered
Nipponia nippon,China,Extant,Native,AVES,included,NA,Endangered
Leucopsar rothschildi,Indonesia,Extant,Native,AVES,included,included,Critically Endangered
Himantopus novaezelandiae,New Zealand,Extant,Native,AVES,included,included,Critically Endangered
Himantopus novaezelandiae,New Zealand,Extant,Native,AVES,included,included,Critically Endangered
Gymnogyps californianus,USA,Extant,Reintroduced,AVES,included,NA,Critically Endangered
Gymnogyps californianus,Mexico,Extant,Reintroduced,AVES,included,NA,Critically Endangered
Anas nesiotis,New Zealand,Extant,Native,AVES,NA,NA,Endangered
Pterodroma magentae,New Zealand,Extant,Native,AVES,included,NA,Critically Endangered
Thalasseus bernsteini,Taiwan,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,Thailand,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,Philippines,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,Malaysia,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,Indonesia,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,China,Extant,Native,AVES,NA,NA,Critically Endangered
Thalasseus bernsteini,South Korea,Extant,Native,AVES,NA,NA,Critically Endangered
Psittacula eques,Mauritius,Extant,Native,AVES,included,NA,Vulnerable
Pomarea whitneyi,French Polynesia,Extant,Native,AVES,included,included,Critically Endangered
Cyanoramphus forbesi,New Zealand,Extant,Native,AVES,NA,NA,Vulnerable
Ardeotis nigriceps,Pakistan,Extant,Native,AVES,NA,NA,Critically Endangered
Ardeotis nigriceps,India,Extant,Native,AVES,NA,NA,Critically Endangered
Junco insularis,Mexico,Extant,Native,AVES,included,NA,Endangered
Hapalopsittaca fuertesi,Colombia,Extant,Native,AVES,NA,NA,Critically Endangered
Anodorhynchus leari,Brazil,Extant,Native,AVES,included,NA,Endangered
Aythya innotata,Madagascar,Extant,Native,AVES,NA,NA,Critically Endangered
Aythya innotata,Madagascar,Extant,Native,AVES,NA,NA,Critically Endangered
Geospiza heliobates,Ecuador,Extant,Native,AVES,included,included,Critically Endangered
Corvus kubaryi,Northern Mariana Islands,Extant,Native,AVES,included,included,Critically Endangered
Thryophilus nicefori,Colombia,Extant,Native,AVES,NA,NA,Critically Endangered
Thryophilus nicefori,Colombia,Extant,Native,AVES,NA,NA,Critically Endangered
Callaeas wilsoni,New Zealand,Extant,Native,AVES,NA,NA,Near Threatened
Geronticus eremita,Yemen,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Morocco,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Eritrea,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Jordan,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Saudi Arabia,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Syria,Extant,Native,AVES,included,NA,Endangered
Geronticus eremita,Turkey,Extant,Reintroduced,AVES,included,NA,Endangered
Apteryx rowi,New Zealand,Extant,Native,AVES,NA,NA,Vulnerable
Neophema chrysogaster,Australia,Extant,Native,AVES,included,included,Critically Endangered
Cyanoramphus malherbi,New Zealand,Extant,Native,AVES,included,included,Critically Endangered
Atlapetes pallidiceps,Ecuador,Extant,Native,AVES,included,NA,Endangered
Nesoenas mayeri,Mauritius,Extant,Native,AVES,included,NA,Vulnerable
Amazona vittata,Puerto Rico,Extant,Native,AVES,included,included,Critically Endangered
Pomarea dimidiata,Cook Islands,Extant,Native,AVES,included,NA,Vulnerable
Crax blumenbachii,Brazil,Extant,Native,AVES,included,NA,Endangered
Lalage newtoni,Reunion,Extant,Native,AVES,included,included,Critically Endangered
Acrocephalus rodericanus,Mauritius,Extant,Native,AVES,NA,NA,Near Threatened
Copsychus sechellarum,Seychelles,Extant,Native,AVES,included,NA,Endangered
Charadrius obscurus,New Zealand,Extant,Native,AVES,included,included,Critically Endangered
Charadrius obscurus,New Zealand,Extant,Native,AVES,included,included,Critically Endangered
Calidris pygmaea,Taiwan,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,South Korea,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,North Korea,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Japan,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,China,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Vietnam,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Thailand,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Russia,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Bangladesh,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,India,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,China,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Malaysia,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Myanmar,Extant,Native,AVES,NA,NA,Critically Endangered
Calidris pygmaea,Sri Lanka,Extant,Native,AVES,NA,NA,Critically Endangered
Pomarea nigra,French Polynesia,Extant,Native,AVES,included,included,Critically Endangered
Turdus helleri,Kenya,Extant,Native,AVES,NA,NA,Critically Endangered
Turdus helleri,Kenya,Extant,Native,AVES,NA,NA,Critically Endangered
Puffinus auricularis,Mexico,Extant,Native,AVES,NA,NA,Critically Endangered
Ognorhynchus icterotis,Colombia,Extant,Native,AVES,included,NA,Endangered
Pterodroma madeira,Portugal,Extant,Native,AVES,included,NA,Endangered
Axis kuhlii,Indonesia,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Leontopithecus chrysopygus,Brazil,Extant,Native,MAMMALIA,NA,NA,Endangered
Mustela nigripes,USA,Extant,Reintroduced,MAMMALIA,included,included,Endangered
Onychogalea fraenata,Australia,Extant,Native,MAMMALIA,NA,NA,Vulnerable
Nomascus nasutus,China,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Nomascus nasutus,Vietnam,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Trachypithecus poliocephalus,China,Extant,Native,MAMMALIA,included,included,Critically Endangered
Trachypithecus poliocephalus,Vietnam,Extant,Native,MAMMALIA,included,included,Critically Endangered
Trachypithecus delacouri,Vietnam,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Potorous gilbertii,Australia,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Leontopithecus rosalia,Brazil,Extant,Native,MAMMALIA,NA,NA,Endangered
Nomascus hainanus,China,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Lynx pardinus,Spain,Extant,Native,MAMMALIA,included,NA,Endangered
Lynx pardinus,Portugal,Extant,Reintroduced,MAMMALIA,included,NA,Endangered
Rhinoceros sondaicus,Indonesia,Extant,Native,MAMMALIA,included,included,Critically Endangered
Rhinoceros sondaicus,Vietnam,Extant,Native,MAMMALIA,included,included,Critically Endangered
Lasiorhinus krefftii,Australia,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Urocitellus brunneus,USA,Extant,Native,MAMMALIA,included,NA,Endangered
Equus ferus,Mongolia,Extant,Reintroduced,MAMMALIA,included,NA,Endangered
Equus ferus,China,Extant,Native,MAMMALIA,included,NA,Endangered
Porcula salvania,India,Extant,Native,MAMMALIA,included,NA,Endangered
Canis rufus,USA,Extant,Reintroduced,MAMMALIA,included,included,Critically Endangered
Bunolagus monticularis,South Africa,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Dicerorhinus sumatrensis,Indonesia,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Dicerorhinus sumatrensis,Malaysia,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Dendrolagus scottae,Papua New Guinea,Extant,Native,MAMMALIA,NA,NA,Critically Endangered
Marmota vancouverensis,Canada,Extant,Native,MAMMALIA,included,NA,Critically Endangered
Phocoena sinus,Mexico,Extant,Native,MAMMALIA,included,included,Critically Endangered
Hypotaenidia owstoni,Guam,Extant,Native,AVES,included,included,Critically Endangered
Elaphurus davidianus,China,Extinct Post-1500,Reintroduced,MAMMALIA,included,included,Extinct in the Wild
Corvus hawaiiensis,USA,Extinct Post-1500,Native,AVES,included,included,Extinct in the Wild
Mitu mitu,Brazil,Extinct Post-1500,Native,AVES,included,included,Extinct in the Wild
Cyanopsitta spixii,Brazil,Extinct Post-1500,Native,AVES,included,included,Extinct in the Wild
Oryx dammah,Mali,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Libya,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Nigeria,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Western Sahara,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Egypt,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Burkina Faso,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Chad,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Algeria,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Sudan,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Niger,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Mauritania,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Oryx dammah,Senegal,Extinct Post-1500,Native,MAMMALIA,included,included,Extinct in the Wild
Zenaida graysoni,Mexico,Extinct Post-1500,Native,AVES,included,included,Extinct in the Wild
